Company,Company_old_name,KW Group,group_total,Branded %,Non-Branded %,variable order
EVOQUA,evoqua,#1-3,932,0.282188841,0.717811159,0
EVOQUA,evoqua,#4-10,1283,0.035853468,0.964146532,1
EVOQUA,evoqua,#11-100,16321,0.027878194,0.972121806,2
WESTECH,westech,#1-3,215,0.446511628,0.553488372,0
WESTECH,westech,#4-10,261,0.107279693,0.892720307,1
WESTECH,westech,#11-100,3260,0.025766871,0.974233129,2
Thermal Engineering of Arizona,teatucson,#1-3,10,0.5,0.5,0
Thermal Engineering of Arizona,teatucson,#4-10,3,0.333333333,0.666666667,1
Thermal Engineering of Arizona,teatucson,#11-100,40,0.275,0.725,2
Norchem Industries,norchem,#1-3,23,1,0,0
Norchem Industries,norchem,#4-10,3,0.333333333,0.666666667,1
Norchem Industries,norchem,#11-100,99,0.080808081,0.919191919,2
NIJHUIS,nijhuis,#1-3,16,0.75,0.25,0
NIJHUIS,nijhuis,#4-10,35,0,1,1
NIJHUIS,nijhuis,#11-100,405,0.002469136,0.997530864,2
KEMCO,kemcosystems,#1-3,42,0,1,0
KEMCO,kemcosystems,#4-10,42,0,1,1
KEMCO,kemcosystems,#11-100,881,0,1,2
IWWS,iwwsllc,#1-3,5,1,0,0
IWWS,iwwsllc,#4-10,7,0,1,1
IWWS,iwwsllc,#11-100,59,0.016949153,0.983050847,2
World Water Works,wordwaterworks,#1-3,25,0.84,0.16,0
World Water Works,wordwaterworks,#4-10,63,0.26984127,0.73015873,1
World Water Works,wordwaterworks,#11-100,479,0.467640919,0.532359081,2
Ellis Corporation,elliscorp,#1-3,43,0.534883721,0.465116279,0
Ellis Corporation,elliscorp,#4-10,49,0.408163265,0.591836735,1
Ellis Corporation,elliscorp,#11-100,633,0.221169036,0.778830964,2
