,Company,KW Group,group_total,Branded %,Non-Branded %,variable order
0,evoqua,#1-3,932,0.2821888412017167,0.7178111587982833,0
1,evoqua,#4-10,1283,0.03585346843335931,0.9641465315666407,1
2,evoqua,#11-100,16321,0.02787819373812879,0.9721218062618712,2
0,westech,#1-3,215,0.44651162790697674,0.5534883720930233,0
1,westech,#4-10,261,0.10727969348659004,0.89272030651341,1
2,westech,#11-100,3260,0.025766871165644172,0.9742331288343559,2
0,teatucson,#1-3,10,0.5,0.5,0
1,teatucson,#4-10,3,0.3333333333333333,0.6666666666666667,1
2,teatucson,#11-100,40,0.275,0.725,2
0,norchem,#1-3,23,1.0,0.0,0
1,norchem,#4-10,3,0.3333333333333333,0.6666666666666667,1
2,norchem,#11-100,99,0.08080808080808081,0.9191919191919192,2
0,nijhuis,#1-3,16,0.75,0.25,0
1,nijhuis,#4-10,35,0.0,1.0,1
2,nijhuis,#11-100,405,0.0024691358024691358,0.9975308641975309,2
0,kemcosystems,#1-3,42,0.0,1.0,0
1,kemcosystems,#4-10,42,0.0,1.0,1
2,kemcosystems,#11-100,881,0.0,1.0,2
0,iwwsllc,#1-3,5,1.0,0.0,0
1,iwwsllc,#4-10,7,0.0,1.0,1
2,iwwsllc,#11-100,59,0.01694915254237288,0.9830508474576272,2
0,wordwaterworks,#1-3,25,0.84,0.16000000000000003,0
1,wordwaterworks,#4-10,63,0.2698412698412698,0.7301587301587302,1
2,wordwaterworks,#11-100,479,0.46764091858037576,0.5323590814196242,2
0,elliscorp,#1-3,43,0.5348837209302325,0.4651162790697675,0
1,elliscorp,#4-10,49,0.40816326530612246,0.5918367346938775,1
2,elliscorp,#11-100,633,0.2211690363349131,0.7788309636650869,2
