,Company,Company_old,KW Group,group_total,variable order
0,EVOQUA,evoqua,#1-3,949,0
1,EVOQUA,evoqua,#4-10,1311,1
2,EVOQUA,evoqua,#11-100,16116,2
0,WESTECH,westech,#1-3,221,0
1,WESTECH,westech,#4-10,255,1
2,WESTECH,westech,#11-100,3232,2
0,Thermal Engineering of Arizona,teatucson,#1-3,10,0
1,Thermal Engineering of Arizona,teatucson,#4-10,3,1
2,Thermal Engineering of Arizona,teatucson,#11-100,41,2
0,Norchem Industries,norchem,#1-3,1,0
1,Norchem Industries,norchem,#4-10,6,1
2,Norchem Industries,norchem,#11-100,25,2
0,NIJHUIS,nijhuis,#1-3,16,0
1,NIJHUIS,nijhuis,#4-10,37,1
2,NIJHUIS,nijhuis,#11-100,421,2
0,KEMCO,kemcosystems,#1-3,46,0
1,KEMCO,kemcosystems,#4-10,43,1
2,KEMCO,kemcosystems,#11-100,872,2
0,IWWS,iwwsllc,#1-3,5,0
1,IWWS,iwwsllc,#4-10,7,1
2,IWWS,iwwsllc,#11-100,59,2
0,World Water Works,worldwaterworks,#1-3,25,0
1,World Water Works,worldwaterworks,#4-10,61,1
2,World Water Works,worldwaterworks,#11-100,476,2
0,Ellis Corporation,elliscorp,#1-3,43,0
1,Ellis Corporation,elliscorp,#4-10,51,1
2,Ellis Corporation,elliscorp,#11-100,628,2
